date,usdt_close,krw_close,usdkrw,usd_ffill,greed,greed_ffill,kimchi_pct
2020-12-06,0.6216,673.0,1086.6,True,95.0,False,-0.3598534244586115
2020-12-07,0.6085,661.0,1086.6,False,94.0,False,-0.0296583721531296
2020-12-08,0.5587,612.0,1082.7,False,95.0,False,1.1729967486272086
2020-12-09,0.5826,637.0,1084.4,False,86.0,False,0.827603096461571
2020-12-10,0.5708,626.0,1083.6,False,94.0,False,1.2095216883274418
2020-12-11,0.5127,581.0,1086.2,False,89.0,False,4.32851278142794
2020-12-12,0.5065,555.0,1089.3,True,90.0,False,0.5925991577952816
2020-12-13,0.5138,557.0,1089.3,True,91.0,False,-0.4792611465997076
2020-12-14,0.498,540.0,1089.3,False,95.0,False,-0.4555816214458552
2020-12-15,0.4685,509.0,1090.8,False,91.0,False,-0.399146994030608
2020-12-16,0.5686,611.0,1093.2,False,92.0,False,-1.7042520005678297
2020-12-17,0.5777,626.0,1092.2,False,92.0,False,-0.786723247607457
2020-12-18,0.5843,634.0,1092.8,False,95.0,False,-0.7083597171372302
2020-12-19,0.577,634.0,1097.9,True,93.0,False,0.0807749724817341
2020-12-20,0.5559,614.0,1097.9,True,92.0,False,0.6025321591805355
2020-12-21,0.5152,574.0,1097.9,False,92.0,False,1.478316311377048
2020-12-22,0.4452,503.0,1101.2,False,88.0,False,2.599826571617214
2020-12-23,0.2588,296.0,1106.6,False,93.0,False,3.35625700622737
2020-12-24,0.3394,376.0,1108.9,False,86.0,False,-0.0958282940624055
2020-12-25,0.3178,349.0,1103.7,True,94.0,False,-0.5005932046295847
